Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
Geylang,3-ROOM,52 ,CASSIA CRES ,- ,NA (Keys Available) ,01 Jan 2018  ,15,28,9,#07-173,"$351,400",62,False
Geylang,3-ROOM,52 ,CASSIA CRES ,- ,NA (Keys Available) ,01 Jan 2018  ,15,28,9,#08-173,,,True
Geylang,3-ROOM,358C ,UBI RD 3 ,1Q/2022 ,31 Jan 2023  ,-  ,1,0,1,#09-200,"$337,200",68,False
Hougang,4-Room,613 ,HOUGANG AVE 8 ,- ,NA (Keys Available) ,01 Jun 1986  ,1,1,1,#02-430*,"$236,000",84,False
Hougang,4-Room,996B ,BUANGKOK CRES ,- ,NA (Keys Available) ,01 Sep 2019  ,1,1,1,#02-887,"$282,900",93,False
Hougang,4-Room,996C ,BUANGKOK CRES ,- ,NA (Keys Available) ,01 Sep 2019  ,1,1,1,#10-911,,,True
Hougang,4-Room,996C ,BUANGKOK CRES ,- ,NA (Keys Available) ,01 Sep 2019  ,1,1,1,#02-915,"$282,800",93,False
Hougang,4-Room,996C ,BUANGKOK CRES ,- ,NA (Keys Available) ,01 Sep 2019  ,1,1,1,#08-915,,,True
Hougang,5-Room,624 ,HOUGANG AVE 8 ,- ,NA (Keys Available) ,01 Sep 1986  ,1,1,1,#02-200*,"$373,000",122,False
Jurong East,4-Room,304 ,JURONG EAST ST 32 ,- ,NA (Keys Available) ,01 Sep 1983  ,1,1,1,#06-128*,"$339,000",99,False
Jurong East,4-Room,338 ,JURONG EAST AVE 1 ,- ,NA (Keys Available) ,01 Jul 1984  ,0,1,1,#02-1638*,"$279,000",104,False
Jurong West,4-Room,406 ,JURONG WEST ST 42 ,- ,NA (Keys Available) ,01 Aug 1984  ,1,1,1,#04-587*,"$256,000",106,False
Jurong West,4-Room,731 ,JURONG WEST ST 72 ,- ,NA (Keys Available) ,01 Nov 1990  ,2,2,2,#03-29*,"$252,000",104,False
Jurong West,4-Room,731 ,JURONG WEST ST 72 ,- ,NA (Keys Available) ,01 Nov 1990  ,2,2,2,#04-31*,"$272,000",111,False
Jurong West,5-Room,138B ,YUAN CHING RD ,- ,NA (Keys Available) ,04 Sep 2014  ,1,1,1,#15-121*,"$626,000",108,False
Jurong West,5-Room,653A ,JURONG WEST ST 61 ,- ,NA (Keys Available) ,01 Oct 2002  ,1,1,1,#02-424*,"$386,000",111,False
Kallang/Whampoa,4-Room,15 ,FARRER PK RD ,- ,NA (Keys Available) ,01 Jun 2004  ,1,0,1,#18-39*,"$442,700",75,False
Kallang/Whampoa,4-Room,94 ,WHAMPOA DR ,- ,NA (Keys Available) ,01 Jan 1974  ,1,1,1,#03-224*,"$266,000",91,False
Kallang/Whampoa,5-Room,113C ,MCNAIR RD ,- ,NA (Keys Available) ,From keys collection date  ,1,0,1,#14-258*,,,True
Kallang/Whampoa,5-Room,113C ,MCNAIR RD ,- ,NA (Keys Available) ,From keys collection date  ,1,0,1,#23-258*,"$87,400 - 15 Years<br>$102,600 - 20 Years<br>$115,100 - 25 Years<br>$125,400 - 30 Years<br>$134,100 - 35 Years<br>$141,500 - 40 Years<br>$147,700 - 45 Years",37,False
Punggol,4-Room,120A ,EDGEDALE PLAINS ,- ,NA (Keys Available) ,01 May 2017  ,0,1,1,#04-277*,"$285,000",93,False
Punggol,4-Room,173C ,PUNGGOL FIELD ,- ,NA (Keys Available) ,01 Dec 2003  ,1,1,1,#10-615*,"$266,000",90,False
Punggol,4-Room,220C ,SUMANG LANE ,- ,NA (Keys Available) ,01 Dec 2018  ,0,1,1,#05-49,"$308,500",93,False
Punggol,4-Room,227B ,SUMANG LANE ,- ,NA (Keys Available) ,01 Mar 2018  ,1,1,1,#05-264*,"$344,300",93,False
Punggol,4-Room,228B ,PUNGGOL FIELD ,3Q/2020 ,30 Sep 2021  ,-  ,1,1,1,#03-118,,,True
Punggol,4-Room,228B ,PUNGGOL FIELD ,3Q/2020 ,30 Sep 2021  ,-  ,1,1,1,#07-126,"$329,200",93,False
Punggol,4-Room,256A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Dec 2016  ,1,1,1,#05-609*,"$320,400",93,False
Punggol,4-Room,266C ,PUNGGOL WAY ,- ,NA (Keys Available) ,01 Jun 2015  ,1,1,1,#12-376*,"$400,000",92,False
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#03-947,,,True
