Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#03-322,"$304,000",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#08-322,,,True
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-332,"$280,000",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#03-332,"$289,500",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#04-332,"$294,000",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-334,"$279,400",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#06-334,"$303,900",93,False
Sengkang,4-Room,175B ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,6,7,5,#02-340,"$299,500",93,False
Sengkang,4-Room,400B ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#05-236,,,True
Sengkang,4-Room,400B ,FERNVALE LANE ,1Q/2022 ,31 Mar 2023  ,-  ,1,1,1,#06-236,"$316,800",93,False
